symbol,missing_open_time
BTCUSDT,2020-02-09T02:00:00+0000
BTCUSDT,2020-02-09T02:05:00+0000
BTCUSDT,2020-02-09T02:10:00+0000
BTCUSDT,2020-02-09T02:15:00+0000
BTCUSDT,2020-02-09T02:20:00+0000
BTCUSDT,2020-02-09T02:25:00+0000
BTCUSDT,2020-02-09T02:30:00+0000
BTCUSDT,2020-02-09T02:35:00+0000
BTCUSDT,2020-02-09T02:40:00+0000
BTCUSDT,2020-02-09T02:45:00+0000
BTCUSDT,2020-02-09T02:50:00+0000
BTCUSDT,2020-02-09T02:55:00+0000
BTCUSDT,2020-02-19T11:40:00+0000
BTCUSDT,2020-02-19T11:45:00+0000
BTCUSDT,2020-02-19T11:50:00+0000
BTCUSDT,2020-02-19T11:55:00+0000
BTCUSDT,2020-02-19T12:00:00+0000
BTCUSDT,2020-02-19T12:05:00+0000
BTCUSDT,2020-02-19T12:10:00+0000
BTCUSDT,2020-02-19T12:15:00+0000
BTCUSDT,2020-02-19T12:20:00+0000
BTCUSDT,2020-02-19T12:25:00+0000
BTCUSDT,2020-02-19T12:30:00+0000
BTCUSDT,2020-02-19T12:35:00+0000
BTCUSDT,2020-02-19T12:40:00+0000
BTCUSDT,2020-02-19T12:45:00+0000
BTCUSDT,2020-02-19T12:50:00+0000
BTCUSDT,2020-02-19T12:55:00+0000
BTCUSDT,2020-02-19T13:00:00+0000
BTCUSDT,2020-02-19T13:05:00+0000
BTCUSDT,2020-02-19T13:10:00+0000
BTCUSDT,2020-02-19T13:15:00+0000
BTCUSDT,2020-02-19T13:20:00+0000
BTCUSDT,2020-02-19T13:25:00+0000
BTCUSDT,2020-02-19T13:30:00+0000
BTCUSDT,2020-02-19T13:35:00+0000
BTCUSDT,2020-02-19T13:40:00+0000
BTCUSDT,2020-02-19T13:45:00+0000
BTCUSDT,2020-02-19T13:50:00+0000
BTCUSDT,2020-02-19T13:55:00+0000
BTCUSDT,2020-02-19T14:00:00+0000
BTCUSDT,2020-02-19T14:05:00+0000
BTCUSDT,2020-02-19T14:10:00+0000
BTCUSDT,2020-02-19T14:15:00+0000
BTCUSDT,2020-02-19T14:20:00+0000
BTCUSDT,2020-02-19T14:25:00+0000
BTCUSDT,2020-02-19T14:30:00+0000
BTCUSDT,2020-02-19T14:35:00+0000
BTCUSDT,2020-02-19T14:40:00+0000
BTCUSDT,2020-02-19T14:45:00+0000
BTCUSDT,2020-02-19T14:50:00+0000
BTCUSDT,2020-02-19T14:55:00+0000
BTCUSDT,2020-02-19T15:00:00+0000
BTCUSDT,2020-02-19T15:05:00+0000
BTCUSDT,2020-02-19T15:10:00+0000
BTCUSDT,2020-02-19T15:15:00+0000
BTCUSDT,2020-02-19T15:20:00+0000
BTCUSDT,2020-02-19T15:25:00+0000
BTCUSDT,2020-02-19T15:30:00+0000
BTCUSDT,2020-02-19T15:35:00+0000
BTCUSDT,2020-02-19T15:40:00+0000
BTCUSDT,2020-02-19T15:45:00+0000
BTCUSDT,2020-02-19T15:50:00+0000
BTCUSDT,2020-02-19T15:55:00+0000
BTCUSDT,2020-02-19T16:00:00+0000
BTCUSDT,2020-02-19T16:05:00+0000
BTCUSDT,2020-02-19T16:10:00+0000
BTCUSDT,2020-02-19T16:15:00+0000
BTCUSDT,2020-02-19T16:20:00+0000
BTCUSDT,2020-02-19T16:25:00+0000
