date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent
2020-01-01,ETHUSDT,129.16,133.05,128.68,130.77,144770.52197,288,287,,,False,,
2020-01-02,ETHUSDT,130.72,130.78,126.38,127.19,213757.05806,288,288,0.0005080764402614101,-0.027758023455018366,True,0.022540551019471777,2.254055101947178
2020-01-03,ETHUSDT,127.19,135.14,125.88,134.35,413055.18895,288,288,0.0014804398345689294,0.05476630359810815,True,0.038476484176298245,3.8476484176298245
2020-01-04,ETHUSDT,134.37,135.85,132.5,134.2,184276.17102,288,288,0.000687733434538356,-0.0011171105239189284,True,0.026224672248444898,2.6224672248444896
2020-01-05,ETHUSDT,134.2,138.19,134.19,135.37,254120.45343,288,288,0.0006324483395156316,0.008680545660113536,True,0.025148525593275475,2.5148525593275477
2020-01-06,ETHUSDT,135.37,144.41,134.86,144.15,408020.27375,288,288,0.001096696572269745,0.06284265388671689,True,0.033116409410890925,3.3116409410890926
2020-01-07,ETHUSDT,144.14,145.31,138.76,142.8,447762.17281,288,288,0.0008416227459364797,-0.009409374178927028,True,0.02901073501199995,2.901073501199995
2020-01-08,ETHUSDT,142.8,147.77,137.03,140.72,570465.57764,288,288,0.0016166847517415529,-0.0146729494761807,True,0.04020801850056221,4.020801850056221
2020-01-09,ETHUSDT,140.76,141.5,135.3,137.74,366076.06569,288,288,0.0009244871777549433,-0.021404250312752962,True,0.030405380736885097,3.0405380736885097
2020-01-10,ETHUSDT,137.73,145.17,135.32,144.84,409403.59507,288,288,0.001446733311598482,0.050261834780888574,True,0.038035947623248224,3.8035947623248223
2020-01-11,ETHUSDT,144.83,148.05,142.09,142.38,368350.57939,288,288,0.0017902897771436054,-0.017130145221713532,True,0.0423118160463907,4.23118160463907
2020-01-12,ETHUSDT,142.4,146.6,141.76,146.54,229541.86137,288,288,0.0007740160342695165,0.02879888905609067,True,0.027821143654952727,2.7821143654952727
2020-01-13,ETHUSDT,146.56,147.0,142.27,143.58,207996.61865,288,288,0.0004748411690977324,-0.020406057583480346,True,0.021790850582245117,2.1790850582245116
