date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent,log_realized_variance,daily_log_variance,weekly_log_variance,monthly_log_variance,target_log_variance,usable_for_model
2020-01-01,ETHUSDT,129.16,133.05,128.68,130.77,144770.52197,288,287,,,False,,,,,,,,False
2020-01-02,ETHUSDT,130.72,130.78,126.38,127.19,213757.05806,288,288,0.0005080764402614,-0.0277580234550183,True,0.0225405510194717,2.254055101947178,-7.5848786487502,,,,-7.5848786487502,False
2020-01-03,ETHUSDT,127.19,135.14,125.88,134.35,413055.18895,288,288,0.0014804398345689,0.0547663035981081,True,0.0384764841762982,3.847648417629825,-6.515416049837456,-7.5848786487502,,,-6.515416049837456,False
2020-01-04,ETHUSDT,134.37,135.85,132.5,134.2,184276.17102,288,288,0.0006877334345383,-0.0011171105239189,True,0.0262246722484448,2.6224672248444896,-7.282109244907979,-6.515416049837456,,,-7.282109244907979,False
2020-01-05,ETHUSDT,134.2,138.19,134.19,135.37,254120.45343,288,288,0.0006324483395156,0.0086805456601135,True,0.0251485255932754,2.5148525593275477,-7.365912017353496,-7.282109244907979,,,-7.365912017353496,False
2020-01-06,ETHUSDT,135.37,144.41,134.86,144.15,408020.27375,288,288,0.0010966965722697,0.0628426538867168,True,0.0331164094108909,3.311640941089093,-6.815452733697935,-7.365912017353496,,,-6.815452733697935,False
2020-01-07,ETHUSDT,144.14,145.31,138.76,142.8,447762.17281,288,288,0.0008416227459364,-0.009409374178927,True,0.0290107350119999,2.901073501199995,-7.080178689330367,-6.815452733697935,-7.112753738909413,,-7.080178689330367,False
2020-01-08,ETHUSDT,142.8,147.77,137.03,140.72,570465.57764,288,288,0.0016166847517415,-0.0146729494761807,True,0.0402080185005622,4.020801850056221,-6.427377676119198,-7.080178689330367,-7.011813747025447,,-6.427377676119198,False
2020-01-09,ETHUSDT,140.76,141.5,135.3,137.74,366076.06569,288,288,0.0009244871777549,-0.0214042503127529,True,0.030405380736885,3.0405380736885097,-6.986271376616834,-6.427377676119198,-6.994206072281796,,-6.986271376616834,False
2020-01-10,ETHUSDT,137.73,145.17,135.32,144.84,409403.59507,288,288,0.0014467333115984,0.0502618347808885,True,0.0380359476232482,3.8035947623248223,-6.538447152673866,-6.986271376616834,-6.935038498623567,,-6.538447152673866,False
2020-01-11,ETHUSDT,144.83,148.05,142.09,142.38,368350.57939,288,288,0.0017902897771436,-0.0171301452217135,True,0.0423118160463907,4.23118160463907,-6.325377785559304,-6.538447152673866,-6.76954552568764,,-6.325377785559304,False
2020-01-12,ETHUSDT,142.4,146.6,141.76,146.54,229541.86137,288,288,0.0007740160342695,0.0287988890560906,True,0.0278211436549527,2.7821143654952727,-7.163917968478658,-6.325377785559304,-6.6715305360599135,,-7.163917968478658,False
2020-01-13,ETHUSDT,146.56,147.0,142.27,143.58,207996.61865,288,288,0.0004748411690977,-0.0204060575834803,True,0.0217908505822451,2.1790850582245116,-7.652530190694321,-7.163917968478658,-6.688278391889571,,-7.652530190694321,False
2020-01-14,ETHUSDT,143.58,171.7,143.51,165.64,1108476.31186,288,288,0.0063056462897701,0.1429243875290295,True,0.0794080996483996,7.9408099648399695,-5.066309810493309,-7.652530190694321,-6.933308894804597,,-5.066309810493309,False
2020-01-15,ETHUSDT,165.6,171.98,159.2,166.4,721687.80381,288,288,0.0035376042814619,0.0045777697097422,True,0.0594777629157485,5.947776291574855,-5.644305537588786,-5.066309810493309,-6.549316581579892,,-5.644305537588786,False
2020-01-16,ETHUSDT,166.4,167.4,157.8,164.21,456170.86719,288,288,0.0025020676725928,-0.0132484318833621,True,0.0500206724524251,5.0020672452425154,-5.990637819903991,-5.644305537588786,-6.370488258562875,,-5.990637819903991,False
